================================================================================
MASTER PARAMETER COMPLIANCE MATRIX (58 UNIQUE PARAMETERS)
================================================================================
Last Updated: July 28, 2026
Audit Status: 100% COMPLIANT (All 56 applicable parameters fully remediated)
Format:
Index | Parameter Heading | GIGW Ref | WCAG Ref | Level | Original Status | Current Status | Location / Finding
--------------------------------------------------------------------------------
1   | Non-Text Content Alternatives       | 5.2.1    | 1.1.1    | A   | PARTIALLY COMPLIANT | COMPLIANT    | compliance-audit/done/01_NonTextContentAlternatives.txt, components/layout/Header.js:L241-246, components/layout/Footer.js:L145-149, components/FloatingMobileTrading.js, components/layout/MenuIcons.js, components/common/ScrollToTop.js
2   | Alternatives for Pre-Recorded Media | 5.2.2    | 1.2.1    | A   | NOT APPLICABLE   | NOT APPLICABLE | Not Applicable - There is no pre-recorded audio-only or video-only content on the public website.
3   | Captions for Pre-Recorded Media     | 5.2.3    | 1.2.2    | A   | NOT APPLICABLE   | NOT APPLICABLE | Not Applicable - No pre-recorded videos hosted on the public website.
4   | Audio Description for Pre-Recorded Video | 5.2.4    | 1.2.3    | A   | NOT APPLICABLE   | NOT APPLICABLE | Not Applicable - No pre-recorded videos hosted on the public website.
5   | Live Media Captions                 | 5.2.5    | 1.2.4    | AA  | NOT APPLICABLE   | NOT APPLICABLE | Not Applicable - There is no live media or webcasting broadcasted on the website.
6   | Audio Description for Pre-Recorded Video (AA) | 5.2.6    | 1.2.5    | AA  | NOT APPLICABLE   | NOT APPLICABLE | Not Applicable - No pre-recorded videos hosted on the public website.
7   | Information and Structure           | 5.2.7    | 1.3.1    | A   | NON-COMPLIANT    | COMPLIANT    | compliance-audit/done/07_InformationandStructure.txt, app/layout.js:L45-49, components/contact/table.jsx:L15-23, components/layout/Header.js:L207-213, components/layout/Footer.js:L108, app/research/[section]/ResearchSectionClient.jsx:L65,L580, app/sip-calculator/page.jsx:L542
8   | Meaningful Reading Sequence         | 5.2.8    | 1.3.2    | A   | COMPLIANT        | COMPLIANT    | app/layout.js:L24-53
9   | Non-Sensory Instructions            | 5.2.9    | 1.3.3    | A   | COMPLIANT        | COMPLIANT    | Not Applicable - Instructions do not rely solely on shape, size, or position.
10  | Orientation Flexibility             | 5.2.10   | 1.3.4    | AA  | COMPLIANT        | COMPLIANT    | app/globals.css
11  | Input Purpose Identification        | 5.2.11   | 1.3.5    | AA  | NON-COMPLIANT    | COMPLIANT    | compliance-audit/done/11_InputPurposeIdentification.txt, components/contact/form.jsx:L277, L307, L334, components/partner/PartnerForm.jsx:L252-390
12  | Use of Colour                       | 5.2.12   | 1.4.1    | A   | PARTIALLY COMPLIANT | COMPLIANT    | compliance-audit/done/12_UseofColour.txt, components/contact/form.jsx:L241, L259-263, components/partner/PartnerForm.jsx (all fields)
13  | Audio Control                       | 5.2.13   | 1.4.2    | A   | NOT APPLICABLE   | NOT APPLICABLE | Not Applicable - There is no audio content that plays automatically on the website.
14  | Text Contrast                       | 5.2.14   | 1.4.3    | AA  | PARTIALLY COMPLIANT | COMPLIANT    | compliance-audit/done/14_TextContrast.txt, app/globals.css:L29 L68, components/home/WhyChooseUs.jsx:L84, components/home/Testimonials.jsx:L178, app/global-error.js:L15
15  | Text Resize                         | 5.2.15   | 1.4.4    | AA  | COMPLIANT        | COMPLIANT    | app/globals.css
16  | Images of Text                      | 5.2.16   | 1.4.5    | AA  | COMPLIANT        | COMPLIANT    | compliance-audit/done/16_ImagesOfText.txt, app/globals.css
17  | Content Reflow                      | 5.2.17   | 1.4.10   | AA  | PARTIALLY COMPLIANT | COMPLIANT    | compliance-audit/done/17_ContentReflow.txt, components/contact/table.jsx:L13 L199, app/research/[section]/ResearchSectionClient.jsx:L65 L580, app/sip-calculator/page.jsx:L542
18  | Non-Text Contrast                   | 5.2.18   | 1.4.11   | AA  | PARTIALLY COMPLIANT | COMPLIANT    | compliance-audit/done/18_NonTextContrast.txt, components/contact/form.jsx:L243
19  | Text Spacing                        | 5.2.19   | 1.4.12   | AA  | COMPLIANT        | COMPLIANT    | app/globals.css
20  | Hover and Focus Content             | 5.2.20   | 1.4.13   | AA  | NON-COMPLIANT    | COMPLIANT    | compliance-audit/done/20_HoverandFocusContent.txt, components/layout/Header.js:L173-182, components/modals/StartupPopupModal.jsx:L116, components/FloatingMobileTrading.js:L26
21  | Keyboard Accessibility              | 5.2.21   | 2.1.1    | A   | PARTIALLY COMPLIANT | COMPLIANT    | compliance-audit/done/21_KeyboardAccessibility.txt, components/modals/BackofficeLoginModal.jsx, components/modals/ChooseAppModal.jsx, components/modals/StartupPopupModal.jsx, components/modals/RiskDisclosureModal.jsx, components/FloatingMobileTrading.js, components/layout/Header.js:L327-370
22  | No Keyboard Trap                    | 5.2.22   | 2.1.2    | A   | COMPLIANT        | COMPLIANT    | Focus trap implemented with correct Tab/Shift+Tab cycling. components/modals/*.jsx, components/FloatingMobileTrading.js
23  | Keyboard Shortcuts                  | 5.2.23   | 2.1.4    | A   | COMPLIANT        | COMPLIANT    | Not Applicable - No single-character keyboard shortcuts are registered.
24  | Timing Adjustable                   | 5.2.24   | 2.2.1    | A   | NOT APPLICABLE   | NOT APPLICABLE | Not Applicable - The website does not contain any timed sessions or timeouts.
25  | Pause, Stop, Hide Moving Content    | 5.2.25   | 2.2.2    | A   | NON-COMPLIANT    | COMPLIANT    | compliance-audit/done/25_PauseStopHideMovingContent.txt, components/home/HeroBanner.js
26  | Flashing Content Limits             | 5.2.26   | 2.3.1    | A   | COMPLIANT        | COMPLIANT    | Not Applicable - No flashing or blinking elements that exceed three flashes per second.
